id,sku,name,action,categories,status,permalink
22987,8K1P8622656-22987,Padel Tee 'Punto',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-punto/
22973,8K1P8622656-22973,Padel Hoodie 'Solidarity',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-solidarity/
22959,8K1P8622656-22959,Padel Hoodie 'Freedom',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-freedom/
22942,8K1P8622656-22942,"Padel Sweater 'Hustler""",DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-vamos/
22928,8K1P8622656-22928,Padel Hoodie 'Melon',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-melon/
22914,8K1P8622656-22914,Padel Hoodie 'Padel',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-padel/
22900,8K1P8622656-22900,Padel Hoodie 'Action',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-action/
22886,8K1P8622656-22886,Padel Hoodie 'Techy',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-techy/
22872,8K1P8622656-22872,Padel Hoodie 'Me',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-me-2/
22841,8K1P8622656-22841,Padel Hoodie 'Hapee',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-me/
22827,8K1P8622656-22827,Padel Hoodie 'Fund',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-hoodie-fund/
22813,8K1P8622656-22813,Padel Tee 'Tact',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-tact/
22799,8K1P8622656-22799,Padel Tee 'Hapee',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-hapee/
22785,8K1P8622656-22785,Padel Tee 'Me',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-me/
22771,8K1P8622656-22771,Padel Tee 'Fund',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-fund/
22755,8K1P8622656-22755,Padel Tee 'Action',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-action/
22709,8K1P8622656-22709,Padel Tee 'Hustler',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-vamos/
22693,8K1P8622656-22693,Padel Tee 'Techy',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee-padelplan/
22656,8K1P8622656,Padel Tee 'Duo',DELETED,"Lifestyle &amp; Everyday Essentials, Padel, Padel Apparel",publish,https://happyharvesting.co.za/product/padel-tee/
10839,G5PPK10839,Sleeveless Coat,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/sleeveless-coat/
10692,strpess,Striped Pants,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/striped-pants/
10603,esseshrtprl,Shirt With Pearl Detail,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/shirt-with-pearl-detail/
10836,U1CV410836,Hi Low Sequin Dress,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/hi-low-sequin-dress/
10550,GU5KX10550,Shirt With Sequin Sleeve Detail With Collar,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/shirt-with-sequin-sleeve-detail-with-collar/
10817,HLK3T10817,Kids Gown Kaftan,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/kids-tv-gown/
10783,3WF4910783,Organza Shirt,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/organza-shirt/
10779,PLBA410779,Beaded Work Top,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/beaded-work-top/
10769,ZT31810769,Casual Tee Knit Fabric,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/casual-tee-knit-fabric/
10747,3NOG910747,Shirt- Hi/Low Lace Work,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/shirt-hi-low-lace-work/
10632,DY3B610632,Dress- Pearl & Lace,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/dress-pearl-lace/
10687,8373210687,Jumpsuit,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/jumpsuit/
10651,I2AWU10651,Throw Poncho Style,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/throw-poncho-style/
10637,E46M110637,Shirt With 3D Flowers On Bell Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/shirt-with-3d-flowers-on-bell-sleeves/
13753,PS8U713753,Wudhu Socks - Waterproof Ultra Thin Socks,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials, Novelty",publish,https://happyharvesting.co.za/product/wudhu-socks-waterproof-ultra-thin-socks/
12278,PMY4M12278,Shirt Pearl Work,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/shirt-pearl-work/
12274,EPT6512274,Jacket Leather and Lace,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/jacket-leather-and-lace/
12215,BTNM912215,Dress Brocade,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/dress-brocade/
11531,SM9QP11531,Delicate Lace Teddy,DELETED,"Lifestyle &amp; Everyday Essentials, Fashion, All Products",publish,https://happyharvesting.co.za/product/delicate-lace-teddy-2/
11526,7UITM11526,Full Lace Body Stocking,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",publish,https://happyharvesting.co.za/product/full-lace-body-stocking/
17165,A2EFP17165,Ladies Free Size Kaftans,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=17165
12176,K39F812176,Dress Shimmer Bottom,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12176
12172,8WKV512172,Dress Feather Detail On Hem,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12172
12169,KC2AR12169,Dress Sleeveless Brocade,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12169
12166,OZOFI12166,Dress Chiffon Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12166
12159,XBS2F12159,Dress Bell Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12159
12149,4PSI512149,Dress Brocade Bottom,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12149
10825,9O76910825,Lace Shirt,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10825
10824,Q2NIR10824,Mesh Bodysuit With Detail,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10824
10820,CWTV810820,Shirt With Bell Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10820
10577,essenshrt,Shirt With Collar & Belt,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10577
10555,essenshrtseq,Shirt With Cut Out On Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10555
10813,135C610813,Corduroy Top Sequined With Hood,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10813
10806,2Z2F310806,Throw With Tassels On Edge,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10806
10792,7TE3F10792,Shirt With Sequined Sides,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10792
10789,14W4310789,Satin Dress,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10789
10775,R131P10775,Dress- Tulips,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10775
10771,7L2PH10771,Pink Shirt With Sequins On Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10771
10770,HWX9O10770,Casual Tee,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10770
10759,IKEQH10759,Fitted Dress With Chiffon Top,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10759
10755,HTZRA10755,Top With 3D Flowers & Frill Sleeves,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10755
10751,9FC3910751,Shimmer Sequin Pants,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10751
10743,7DB1Z10743,Chiffon Shirt With Pearl Detail & Front Zip,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10743
10731,1C8F610731,Chiffon Shirt/Dress,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10731
10706,19LOL10706,Shirt With Cotton Embroidery Flowers,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10706
10697,T16P810697,Checkered Bell Bottom Pants With Pom Poms,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10697
10681,9U14D10681,Jumpsuit-Lightweight Floral,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10681
10675,D1TJ510675,Sleeveless Dress With Side Slits,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10675
10670,S29ZQ10670,Dress/Top With Embroidery & Beadwork,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=10670
13448,3VOEB13448,Grey Sequin Dress,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13448
12235,M52TZ12235,Dress Chiffon Overlay,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12235
12284,14BNT12284,Shirt Bottom Down and Pearl Work,DELETED,"Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=12284
13466,FBLM713466,Scuba Glass Work Dress - Black & Cream,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13466
13648,C65K213648,Violet Dress with Lace & Chiffon,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13648
13644,92J5X13644,Stone & Navy Dress with Sequins,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13644
13640,1BBJX13640,Black Chiffon Dress with gold sequins,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13640
13635,MO1JJ13635,Bengline Black & Cream Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13635
13630,628H913630,Long Seige Dress with Stud Detail,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13630
13607,YLK9513607,Peach Satin Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13607
13603,IFXNY13603,Lace & Sequin Dress - Indigo,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13603
13597,X7U7213597,"Blue Mist - Lace Top, Chiffon Bottom Dress",DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13597
13593,8Q96K13593,Maroon Sequin Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13593
13589,M1O9T13589,Seige Solo Dress with Studs,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13589
13583,T9BS613583,Peach Chiffon Evening Gown with Sequins,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13583
13578,31SJE13578,Plain Navy Evening Gown,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13578
13569,J35FR13569,Navy Stud Chiffon Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13569
13565,2U4DO13565,Navy Blue Long Evening Gown,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13565
13557,N472413557,Purple Dress with Stone Detail on Neckline,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13557
13553,QU15C13553,Mint Long Dress with Glass Work,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13553
13549,1T3O113549,Ice & Stone Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13549
13545,2JTY813545,Plain Aqua Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13545
13541,HXGF413541,Pink & Navy Party Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13541
13537,G61MW13537,Navy Blue Dress with Gold Plated Waistline,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13537
13529,R6MQX13529,Stone & Peach Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13529
13524,898K313524,Mint Flower Chiffon Dress,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13524
13519,T9PKF13519,Sequin Royal Blue,DELETED,"All Products, Fashion, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=13519
