id,sku,name,action,categories,status,permalink
32135,F00486,Lamp Base and Burner with Holder,DRAFTED,Festive Decor,publish,https://happyharvesting.co.za/product/lamp-base-and-burner-with-holder/
32138,F02157,Candle Holder (Metal),DRAFTED,Festive Decor,draft,https://happyharvesting.co.za/?post_type=product&p=32138
16220,VJDA616220,Cake Stand,DRAFTED,"Decor, Festive Dining, Homeware, Kitchen &amp; Table Accessories, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=16220
16133,12KJ516133,Round Plate Holders,DRAFTED,"Festive Dining, Kitchen &amp; Table Accessories, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=16133
15343,ZR5K915343,LED  Holographic Mini Stage Light Laser Projector,DRAFTED,"Festive Lights, Mobile Tech &amp; Gadgets, Novelty, Tech &amp; Gadgets",draft,https://happyharvesting.co.za/?post_type=product&p=15343
15336,Disco,Aerbes AB-Z1105 Disco Light,DRAFTED,"Electrical, Festive Lights, Globes, Lights, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15336
15330,Q64C315330,Multifunctional USB & Solar Rechargeable Portable Flashlight,DRAFTED,"Electrical, Festive Lights, Lights, Loadshedding, Solar, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15330
15268,TLB,LED Emergency Light Bulb,DRAFTED,"Festive Lights, Globes, Globes, Lights, Loadshedding",draft,https://happyharvesting.co.za/?post_type=product&p=15268
16008,722GD16008,Festive Gift Wrap,DRAFTED,"Gift Wrap, Lifestyle &amp; Everyday Essentials, Stationery",draft,https://happyharvesting.co.za/?post_type=product&p=16008
13375,42WSD13375,Christmas 0.3 L 2 Pack Mugs,DRAFTED,"Dining, Festive Dining, Lifestyle &amp; Everyday Essentials, Mugs",draft,https://happyharvesting.co.za/?post_type=product&p=13375
15475,SGW,Christmas Serviettes - 20pc,DRAFTED,"Decor, Festive Dining, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15475
15471,TM9C315471,Christmas Serviettes - Blue/Red/Beige Santa - 20pc,DRAFTED,"Decor, Festive Dining, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15471
15674,A6L9V15674,Santa Round Wooden Pot Stand,DRAFTED,Festive Dining,draft,https://happyharvesting.co.za/?post_type=product&p=15674
15264,SFL,MTY Solar Flood Light,DRAFTED,"Festive Lights, Globes, Loadshedding, Solar",draft,https://happyharvesting.co.za/?post_type=product&p=15264
15503,LSL,50m LED String Lights - TYN-060- all colors,DRAFTED,"Decor, Festive Lights, Globes, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15503
15495,LRL,10m LED Christmas Rope Lights,DRAFTED,"Decor, Festive Lights, Globes",draft,https://happyharvesting.co.za/?post_type=product&p=15495
15932,ZQDG715932,Round LED Water Activated Lamps,DRAFTED,"Decor, Festive Lights, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15932
16224,C56DX16224,White LED  Rope Lights,DRAFTED,"Electrical, Festive Lights, Lifestyle &amp; Everyday Essentials, Lights",draft,https://happyharvesting.co.za/?post_type=product&p=16224
15340,RINGL,RGB LED Soft Ring Light,DRAFTED,"Electrical, Festive Lights, Globes, Lights",draft,https://happyharvesting.co.za/?post_type=product&p=15340
15368,SGFD,Golden Blooms Elegance hanging Decor,DRAFTED,"Christmas, Decor, Festive Decor, Lifestyle &amp; Everyday Essentials, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15368
15461,MDGB,6pc Mini Double Gold Bells Decor,DRAFTED,"Decor, Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15461
15522,MS,Miniature Santa,DRAFTED,"Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15522
15526,PS,Santa Puppet Doll,DRAFTED,"Christmas, Festive Decor, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15526
15514,6HT7A15514,Hanging Glitter Light Globe,DRAFTED,"Decor, Festive Decor, Festive Lights, Globes, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15514
15547,PRAR,Plain Red Reindeer Aliceband,DRAFTED,"Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15547
15541,RES,Reindeer Aliceband Red Sequence,DRAFTED,"Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15541
15537,PRE,Plain Aliceband Deer Ears,DRAFTED,"Christmas, Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15537
15531,RAB,Reindeer Aliceband With Bear Stuffing,DRAFTED,"Christmas, Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15531
15504,RPD,Puppet Doll - Raindeer,DRAFTED,"Decor, Festive Decor, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15504
15485,TSH,Tinsel Santa Hat Decoration,DRAFTED,Festive Decor,draft,https://happyharvesting.co.za/?post_type=product&p=15485
15479,WTM,White Merry Christmas Tinsel Mistletoe,DRAFTED,Festive Decor,draft,https://happyharvesting.co.za/?post_type=product&p=15479
15464,NMM,3pc Nutcracker Mini Man Set,DRAFTED,"Decor, Festive Decor, Kitchen &amp; Table Accessories, Lifestyle &amp; Everyday Essentials",draft,https://happyharvesting.co.za/?post_type=product&p=15464
15457,RBM,6pc Red/Gold Bells Decor,DRAFTED,"Decor, Festive Decor, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15457
15679,FSG/GSG,Santa Material Mask Glasses,DRAFTED,"Festive Decor, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15679
15668,SSD2,Santa Standing Doll,DRAFTED,Festive Decor,draft,https://happyharvesting.co.za/?post_type=product&p=15668
15628,PSD2,Puppet Santa Doll,DRAFTED,"Festive Decor, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15628
15613,PSD1,Puppet Santa Doll,DRAFTED,"Festive Decor, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15613
15597,SPD,Puppet Snowman Doll,DRAFTED,"Festive Decor, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15597
16065,UQHY316065,Round Tinsil,DRAFTED,"Festive Decor, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=16065
