id,sku,name,source,image,status
33670,100Q7Q,Hisense 100Q7Q 100-inch QLED 4K Smart TV,gallery:name-match(4),/wp-content/uploads/2024/11/Hisense-MiniLED-QLED-TV-100-inch.png,api_error
33658,,Smeg 90cm Cooker with Gas Hob - Premium Stainless Steel,gallery:name-match(7),/wp-content/uploads/2024/11/rgrx-8251-g540.0Smeg-90cm-Stainless-Steel-Cooker-With-Gas-Hob-1-2.jpg,api_error
33669,QA85Q7FAALXXA,"Samsung QA85Q7FAALXXA 85"" 4K QLED AI TV",web-search,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/c1c96e10-4045-4c64-92a2-e4197bc2249d.__CR0,0,3050,1250_PT0_SX1464_V1___.jpg",updated
33659,86029,LG 14Pl Matte Black QuadWash Steam Dishwasher,web-search,https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/6/6/66095_f58ab6aa088a1f4d13f5d64a1991f02f.jpg,api_error
33584,F03095,MoHAIR Paint Roller &amp; Tray Set,gallery:name-match(4),/wp-content/uploads/2026/03/2121-1055-standard-medium-pile-paint-roller-set-with-tray-0.jpg,api_error
33672,85Q7Q,Hisense 85Q7Q 4K QLED 144Hz Smart TV,web-search,https://mcprod.jumbo.ae/media/catalog/product/q/7/q7q-85-rev02.jpg,updated
33581,F02582,Microfibre High Density Paint Roller &amp; Tray Set,gallery:sku-partial,/wp-content/uploads/2024/05/f02582-Photoroom.jpg,api_error
33578,F02904,Ruffer Pile Paint Roller &amp; Tray Set,gallery:name-match(5),/wp-content/uploads/2026/03/2121-1055-standard-medium-pile-paint-roller-set-with-tray-0.jpg,api_error
33605,F00981,Ladder House Wife 4 Step,web-search,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/0e7df572-011e-4d3a-8ab9-e0d818f370b8.__CR0,0,970,600_PT0_SX970_V1___.jpg",updated
33561,F03094,Masking Paper Tape For Painting 5CM x 20M,web-search,https://m.media-amazon.com/images/I/31gh0yuhXEL._AC_.jpg,updated
33630,F03568,Trimmer Line Assorted Colors 2 x 10M,web-search,https://www.gmr.com.fj/wp-content/uploads/2023/08/1014502-Green-scaled.jpg,api_error
33525,F03106,"Paint Brush Wooden Lotus Handle Craftman 2"" - 50MM",gallery:name-match(4),/wp-content/uploads/2026/03/5-5-inch-wooden-handle-wall-paint-brush-1000x1000-1.jpg,api_error
33548,F03142,"""Pro"" Roller Yellow Handle High Quality",web-search,https://m.media-amazon.com/images/I/71StrhHdqtL._AC_SL1500_.jpg,updated
33549,F03141,"Textured ""Pro"" Roller Blue Handle Best Quality/Durability",web-search,https://m.media-amazon.com/images/I/51VE7aKV9LS.jpg,updated
33558,F03145,Soft Pattern Designer Roller,web-search,https://m.media-amazon.com/images/I/71m3P71YvLL._AC_SL1500_.jpg,updated
33444,55U7Q,"Hisense 55U7Q 55"" 4K Ultra HD Smart TV with Quantum Dot",web-search,https://m.media-amazon.com/images/I/71ywu++dSQL._SX679_.jpg,updated
33492,55Q7Q,"Hisense 55Q7Q 55"" 4K QLED Smart TV",web-search,https://bf1af2.akinoncloudcdn.com/products/2025/08/28/611962/e2ca04a6-0d96-4e4b-a5bd-ff70f8dcb08d_size750_cropCenter.jpg,updated
33447,65Q7Q,"Hisense 65Q7Q 65"" 4K Smart TV - Premium QLED Display",web-search,https://premiumoutlet.co.za/wp-content/uploads/65Q7Q-fifa-promo-scaled-1.jpg,updated
33428,83958,Cloud Nine 152cm Spine-Flex ET Base Set,web-search,https://www.hirschs.co.za/media/catalog/product/cache/5650c527889287cec4d241f33ee3fa4b/c/n/cn_spine-flex_jpeg_3.jpg,api_error
33432,85U8Q,"Hisense 85U8Q 85"" 4K Mini-LED Smart TV with Quantum Dot",web-search,https://atehno.md/files/items/85-led-smart-tv-hisense-85u8q-9857902492775.png,updated
33433,75U8Q,"Hisense 75U8Q 75"" 4K Mini-LED Smart TV",web-search,https://cdn.tiramisuerp.com/s3.tehnoplus.me/1476325_5450630.jpg,updated
33426,86697,DeLonghi PrimaDonna Aromatic Bean-to-Cup Coffee Machine,web-search,https://img.kavosdraugas.lt/284767a9-f708-4b8e-ac99-592357b6bde4/800x800/de63075tmupd8png.jpg,updated
33419,H3319,Samsung 12000BTU R32 Inverter Air Conditioner,gallery:name-match(4),/wp-content/uploads/2026/03/Samsung-AR3000-Wall-Split-9000-Btu-Non-Inverter-Air-Conditioner-outdoor.jpg,api_error
33429,116UX,Hisense 116UX RGB MiniLED TV - Premium 4K Smart Display,,,no_image_found
33427,85339,Miele Guard L1 Bagged Cylinder Vacuum Cleaner,,,no_image_found
33423,85454,Hisense 12kg Wash Block 2 in 1 Washer Dryer Combo,web-search,https://pictures-nigeria.jijistatic.net/187057595_MTYwMC0xMjAwLTJmZDdlOWEzZTg.webp,updated
