ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_metadesc
,simple,F03125,"Scraper Plastic Handle Green (Putty Knife) 1"" - 25MM",1,,visible,,,,,taxable,,1,786,3,0,0,,,,,1,,,8.84,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03128,"Scraper Plastic Handle Green (Putty Knife) 2.5"" - 65MM",1,,visible,,,,,taxable,,1,697,3,0,0,,,,,1,,,13.67,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03131,"Scraper Plastic Handle Green (Putty Knife) 4"" - 100MM",1,,visible,,,,,taxable,,1,997,3,0,0,,,,,1,,,15.76,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03126,"Scraper Plastic Handle Green (Putty Knife) 1.5"" - 38MM",1,,visible,,,,,taxable,,1,709,3,0,0,,,,,1,,,10.45,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03129,"Scraper Plastic Handle Green (Putty Knife) 3"" - 75MM",1,,visible,,,,,taxable,,1,9,3,0,0,,,,,1,,,14.41,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03132,"Scraper Plastic Handle Green (Putty Knife) 5"" - 125MM",1,,visible,,,,,taxable,,1,1056,3,0,0,,,,,1,,,17.63,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03127,"Scraper Plastic Handle Green (Putty Knife) 2"" - 50MM",1,,visible,,,,,taxable,,1,219,3,0,0,,,,,1,,,12.38,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03130,"Scraper Plastic Handle Green (Putty Knife) 3.5"" - 90MM",1,,visible,,,,,taxable,,1,1061,3,0,0,,,,,1,,,15.29,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03133,"Scraper Plastic Handle Green (Putty Knife) 6"" - 150MM",1,,visible,,,,,taxable,,1,1169,3,0,0,,,,,1,,,19.24,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03116,"Scraper Wooden Beech Handle (Putty Knife) 1"" - 25MM",1,,visible,,,,,taxable,,1,518,3,0,0,,,,,1,,,12.07,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03119,"Scraper Wooden Beech Handle (Putty Knife) 2.5"" - 65MM",1,,visible,,,,,taxable,,1,398,3,0,0,,,,,1,,,15.29,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03122,"Scraper Wooden Beech Handle (Putty Knife) 4"" - 100MM",1,,visible,,,,,taxable,,1,608,3,0,0,,,,,1,,,18.51,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03117,"Scraper Wooden Beech Handle (Putty Knife) 1.5"" - 38MM",1,,visible,,,,,taxable,,1,441,3,0,0,,,,,1,,,12.8,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03120,"Scraper Wooden Beech Handle (Putty Knife) 3"" - 75MM",1,,visible,,,,,taxable,,1,43,3,0,0,,,,,1,,,16.02,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03123,"Scraper Wooden Beech Handle (Putty Knife) 5"" - 125MM",1,,visible,,,,,taxable,,1,758,3,0,0,,,,,1,,,20.43,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03118,"Scraper Wooden Beech Handle (Putty Knife) 2"" - 50MM",1,,visible,,,,,taxable,,1,149,3,0,0,,,,,1,,,14.41,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03121,"Scraper Wooden Beech Handle (Putty Knife) 3.5"" - 90MM",1,,visible,,,,,taxable,,1,630,3,0,0,,,,,1,,,16.9,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03124,"Scraper Wooden Beech Handle (Putty Knife) 6"" - 150MM",1,,visible,,,,,taxable,,1,777,3,0,0,,,,,1,,,22.46,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03090,"Wide Scraper (Putty Knife) Rubber Handle 6""",1,,visible,,,,,taxable,,1,351,3,0,0,,,,,1,,,19.24,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03091,"Wide Scraper (Putty Knife) Rubber Handle 8""",1,,visible,,,,,taxable,,1,262,3,0,0,,,,,1,,,24.07,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03092,"Wide Scraper (Putty Knife) Rubber Handle 10""",1,,visible,,,,,taxable,,1,108,3,0,0,,,,,1,,,32.12,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03573,"Trowel Bricklaying Ruby Handle 8""",1,,visible,,,,,taxable,,1,474,3,0,0,,,,,1,,,53.05,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,Impulse,,,,,
,simple,F03574,"Trowel Bricklaying Ruby Handle 10""",1,,visible,,,,,taxable,,1,453,3,0,0,,,,,1,,,57.88,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,Impulse,,,,,
,simple,F03525,Trowel Plain Blue Plastic Handle,1,,visible,,,,,taxable,,1,965,3,0,0,,,,,1,,,38.56,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03572,Trowel Plain Rubber Handle Better Quality,1,,visible,,,,,taxable,,1,25,3,0,0,,,,,1,,,45.0,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03110,"Paint Brush Green Plastic Handle DIY 1"" - 25MM",1,,visible,,,,,taxable,,1,568,3,0,0,,,,,1,,,6.44,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03112,"Paint Brush Green Plastic Handle DIY 2"" - 50MM",1,,visible,,,,,taxable,,1,696,3,0,0,,,,,1,,,14.47,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03114,"Paint Brush Green Plastic Handle DIY 3"" - 75MM",1,,visible,,,,,taxable,,1,763,3,0,0,,,,,1,,,20.85,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03111,"Paint Brush Green Plastic Handle DIY 1.5"" - 38MM",1,,visible,,,,,taxable,,1,742,3,0,0,,,,,1,,,9.66,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03113,"Paint Brush Green Plastic Handle DIY 2.5"" - 63MM",1,,visible,,,,,taxable,,1,504,3,0,0,,,,,1,,,15.92,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03115,"Paint Brush Green Plastic Handle DIY 4"" - 100MM",1,,visible,,,,,taxable,,1,1079,3,0,0,,,,,1,,,24.95,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03098,"Paint Brush Red Handle DIY PRO 1"" - 25MM",1,,visible,,,,,taxable,,1,1507,3,0,0,,,,,1,,,8.05,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03100,"Paint Brush Red Handle DIY PRO 2"" - 50MM",1,,visible,,,,,taxable,,1,802,3,0,0,,,,,1,,,14.96,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
,simple,F03102,"Paint Brush Red Handle DIY PRO 3"" - 75MM",1,,visible,,,,,taxable,,1,1049,3,0,0,,,,,1,,,22.14,"All Products, Hardware, Hardware > Painting & Decorating",,,,,,,,,,,,,ALCO,,,,,
