ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_metadesc
,simple,F03125,"Scraper Plastic Handle Green (Putty Knife) 1"" - 25MM",1,,visible,ALCO 25mm plastic putty knife for scraping and smoothing in paint and decorating work.,"The ALCO 25mm plastic handle putty knife is an essential tool for scraping, smoothing, and applying putty, caulk, and paint in decorating projects. Its lightweight plastic handle provides comfortable grip control, while the 1-inch blade width is ideal for detailed work on walls, windows, and trim. Perfect for both professional decorators and DIY enthusiasts tackling home improvement tasks.",,,taxable,,1,786,3,0,0,0.15,27.0,6.5,3.0,1,,,8.84,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, 25mm, painting tools, decorating, plastic handle, wall preparation, caulk tool, diy tools, home improvement, alco tools, hardware",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,"ALCO 25mm plastic handle putty knife for scraping, smoothing putty and caulk. Essential decorating tool. R8.84"
,simple,F03128,"Scraper Plastic Handle Green (Putty Knife) 2.5"" - 65MM",1,,visible,ALCO 65mm plastic handle putty knife for painting and scraping work.,"The ALCO 65mm plastic handle putty knife is an essential tool for scraping, smoothing, and applying putty during painting and decorating projects. Its sturdy plastic handle provides comfortable grip control, while the flexible 2.5"" blade handles drywall, wallpaper removal, and surface preparation with ease. Perfect for DIY enthusiasts and professionals tackling indoor renovation work.",,,taxable,,1,697,3,0,0,0.15,28.0,8.0,3.0,1,,,13.67,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, plastic handle, 65mm, painting tools, decorating, drywall, surface prep, alco tools, homeware, hardware, diy",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,"ALCO 65mm putty knife with green plastic handle. Ideal for scraping, smoothing and painting projects. Only R13.67 at SA hardware store."
,simple,F03131,"Scraper Plastic Handle Green (Putty Knife) 4"" - 100MM",1,,visible,ALCO 100MM putty knife with green plastic handle for paint scraping and decorating.,"The ALCO 100MM Putty Knife features a durable plastic handle in green with a sturdy scraper blade, perfect for removing old paint, wallpaper, and surface debris. Its compact 4-inch size makes it ideal for detail work around windows, trim, and tight spaces during painting and decorating projects. An essential tool for any South African DIY enthusiast tackling home renovation tasks.",,,taxable,,1,997,3,0,0,0.15,10.2,5.5,3.0,1,,,15.76,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, plastic handle, 100mm, 4 inch, paint scraper, decorating tools, alco, diy, home improvement, surface prep, wallpaper removal",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,ALCO 100MM Putty Knife with green plastic handle for paint scraping and surface preparation. Durable and affordable at R15.76.
,simple,F03126,"Scraper Plastic Handle Green (Putty Knife) 1.5"" - 38MM",1,,visible,ALCO 38MM plastic handle scraper for painting and decorating tasks.,"The ALCO Plastic Handle Scraper is an essential tool for any painting or decorating project. This 38MM (1.5 inch) putty knife features a comfortable green plastic handle and durable blade, perfect for scraping paint, filling gaps, and smoothing surfaces. Ideal for both DIY enthusiasts and professionals working on walls, woodwork, and general surface preparation.",,,taxable,,1,709,3,0,0,0.15,38.0,6.0,3.0,1,,,10.45,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, plastic handle, painting tools, decorating, 38mm, surface preparation, paint scraper, diy tools, wall preparation, gap filler, alco tools",,https://m.media-amazon.com/images/I/61qohBtUwTL._AC_SL1500_.jpg,,,,,,,,,,ALCO,,,,,"ALCO 38MM Plastic Handle Scraper (Putty Knife) - Essential painting & decorating tool. Durable, affordable. R10.45"
,simple,F03129,"Scraper Plastic Handle Green (Putty Knife) 3"" - 75MM",1,,visible,Lightweight 75mm putty knife with comfortable plastic handle for painting prep work.,"The ALCO 75mm plastic handle putty knife is an essential tool for scraping, smoothing, and applying putty on walls, woodwork, and surfaces. Its lightweight plastic handle ensures comfortable grip during extended use, while the durable blade makes it ideal for prep work before painting and decorating projects. Perfect for DIY enthusiasts and professionals tackling home renovations.",,,taxable,,1,9,3,0,0,0.15,20.0,8.0,3.0,1,,,14.41,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, painting tools, decorating, alco, 75mm, wall prep, diy tools, home improvement, scraping tool, plaster scraper, finishing tool",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,ALCO 75mm putty knife with green plastic handle - essential scraper for painting prep. Only R14.41 at SA hardware stores.
,simple,F03132,"Scraper Plastic Handle Green (Putty Knife) 5"" - 125MM",1,,visible,"ALCO 5"" plastic handle putty knife for painting and decorating tasks.","The ALCO 5"" (125MM) plastic handle putty knife is an essential tool for scraping, smoothing, and applying putty, paint, and sealants. Featuring a durable plastic grip handle in green and a sturdy steel blade, this scraper delivers precision and control for both professional decorators and DIY enthusiasts. Ideal for surface preparation, paint removal, and finishing work around your home.",,,taxable,,1,1056,3,0,0,0.15,12.7,5.1,2.5,1,,,17.63,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, plastic handle, painting tools, decorating, surface preparation, 125mm, paint scraper, home improvement, diy tools, wall repair, alco",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,"ALCO 5"" plastic handle putty knife scraper for painting, decorating & surface prep. Durable & affordable. Shop now at R17.63."
,simple,F03127,"Scraper Plastic Handle Green (Putty Knife) 2"" - 50MM",1,,visible,ALCO 50MM plastic handle putty knife for scraping and spreading tasks.,"The ALCO 50MM Plastic Handle Putty Knife is an essential tool for scraping, spreading, and finishing tasks in painting and decorating projects. Featuring a durable plastic handle with a 2-inch steel blade, this scraper delivers reliable performance for removing old paint, applying putty, and smoothing surfaces. Lightweight and easy to control, it's perfect for both professional contractors and DIY enthusiasts tackling indoor renovations.",,,taxable,,1,219,3,0,0,0.15,25.0,6.0,3.0,1,,,12.38,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, painting tools, decorating, alco, 50mm, 2 inch, paint scraper, wall preparation, diy tools, home improvement, builders tools",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,ALCO 50MM Plastic Handle Putty Knife - Essential scraper for painting & decorating. R12.38. Perfect for spreading putty and removing paint.
,simple,F03130,"Scraper Plastic Handle Green (Putty Knife) 3.5"" - 90MM",1,,visible,ALCO 90mm plastic handle putty knife scraper for painting and prep work.,"The ALCO Plastic Handle Scraper is an essential 90mm putty knife for professional painters and DIY enthusiasts. Features a durable plastic handle with a sharp, flat blade ideal for scraping paint, putty, and surface preparation work. Perfect for interior and exterior painting projects, wall repairs, and general scraping tasks around the home.",,,taxable,,1,1061,3,0,0,0.15,23.0,8.0,4.0,1,,,15.29,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","scraper, putty knife, 90mm, plastic handle, painting tools, decorating, surface preparation, alco tools, paint scraper, diy tools, home improvement, hardware",,https://i5.walmartimages.com/seo/Putty-Scraper-2-Plastic-Flexible-Putty-Knives-Disposable-Spreader-for-Taping-Drywall-Wall-Painting-Green-3pcs_d8570529-ceb4-4f02-97ba-d2819495d535.70b8e98214b73db05e52de07268abfcc.jpeg,,,,,,,,,,ALCO,,,,,ALCO 90mm plastic handle scraper/putty knife - R15.29. Essential painting and decorating tool for surface prep and paint removal.
,simple,F03133,"Scraper Plastic Handle Green (Putty Knife) 6"" - 150MM",1,,visible,ALCO 150MM plastic handle putty knife for scraping and surface prep.,"The ALCO 150MM (6"") Putty Knife features a durable plastic handle with a flexible steel blade, perfect for scraping, spreading putty, and preparing surfaces before painting. Ideal for both professional decorators and DIY enthusiasts tackling interior walls, woodwork, and trim work across South African homes.",,,taxable,,1,1169,3,0,0,0.15,15.5,6.5,2.5,1,,,19.24,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","putty knife, scraper, painting tools, decorating, surface preparation, 150mm, 6 inch, alco tools, diy tools, home improvement, wall prep, putty spreader",,https://i5.walmartimages.com/seo/SLGHLSAHG-Putty-Scraper-10-Plastic-Flexible-Putty-Knives-Spreader-for-Taping-Drywall-Wall-Painting-Green-3Pcs-A20728_aba38c6f-d682-4035-8f89-45e02342dfbb.2fa9433b4e221951befa67625cc00685.jpeg,,,,,,,,,,ALCO,,,,,ALCO 150MM Putty Knife with plastic handle. Essential scraper for painting prep and surface work. R19.24 at your trusted SA hardware store.
,simple,F03116,"Scraper Wooden Beech Handle (Putty Knife) 1"" - 25MM",1,,visible,ALCO 25mm wooden handle scraper for painting prep and surface work.,"The ALCO Scraper with wooden beech handle is an essential tool for any painting and decorating project. This 25mm (1"") putty knife features a durable steel blade and comfortable grip, perfect for scraping off old paint, filling cracks, and applying filler or putty. Whether you're prepping surfaces for a fresh coat or doing detailed finishing work, this reliable scraper delivers professional results at an affordable price.",,,taxable,,1,518,3,0,0,0.2,28.0,6.0,3.0,1,,,12.07,"All Products, Hardware, Hardware > Cutting & Grinding, Hardware > Painting & Decorating","scraper, putty knife, 25mm, painting tools, decorating, surface prep, beech handle, alco, paint scraper, filler application, diy tools, hardware",,https://5.imimg.com/data5/SELLER/Default/2023/8/336288284/QR/HF/QI/77622695/wooden-handle-putty-knife-1000x1000.jpeg,,,,,,,,,,ALCO,,,,,"ALCO 25mm Scraper with wooden beech handle - essential putty knife for painting prep, surface scraping & filler work. Durable & affordable."
