sku,name,wholesale_price,retail_price,brand
F02220,"Scraper TPR Handle (Putty Knife) 1"" = 25MM",,8.95,
F02221,"Scraper TPR Handle (Putty Knife) 5"" = 125MM",,11.95,
F02222,"Scraper TPR Handle (Putty Knife) 6"" = 150MM",,12.95,
F02237,"Trowel Bricklaying TRP Handle Pointed 6""",,19.95,
F02238,"Trowel Bricklaying TRP Handle Pointed 8""",,26.95,
F02239,"Trowel Bricklaying TRP Handle Pointed 10""",,27.95,
F02235,"Trowel Bricklaying TRP Handle Rounded 6""",,19.95,
F02236,"Trowel Bricklaying TRP Handle Rounded 8""",,24.95,
F02233,"Trowel Bricklaying Wooden Handle 6""",,16.95,
F02234,"Trowel Bricklaying Wooden Handle 10""",,28.95,
F00951,Trowel Plain Good Qlty F-Glass Handle,,29.5,DE KOK
F01339,Trowel Tiler's F-Glass Handle Good Quality 6MM,,29.5,ALCO
F01340,Trowel Tiler's F-Glass Handle Good Quality 10MM,,29.95,ALCO
F02240,Trowel Plastic 280MM x 130,,19.95,
F02211,Trowel Plain Wooden Handle,,32.95,
F00920,"Plier Long Nose Carded 6"" - 152.4MM",,29.95,ALCO
F00922,"Plier Long Nose Carded 8"" - 203.2MM",,42.95,ALCO
F00914,"Plier Combination 6"" - 152.4MM",,31.95,ALCO
F00916,"Plier Combination 8"" - 203.2MM",,43.95,ALCO
F02215,Plier Locking 250MM,,49.95,ALCO
F00917,"Plier Side Cutter Carded 6""",,31.95,ALCO
F00919,"Plier Side Cutter Carded 8""",,42.95,ALCO
F00923,Budget Plier 3PCE Set,79.95,99.95,ALCO
F02224,Chalk Line Plastic Case + Powder & Leveler 15M,,28.95,
F02596,"G Clamp 1""",,14.49,ALCO
F02599,"G Clamp 4""",,44.95,ALCO
F02597,"G Clamp 2""",,18.95,ALCO
F02600,"G Clamp 5""",,56.95,ALCO
F02603,"G Clamp 10""",,149.95,ALCO
F02598,"G Clamp 3""",,32.95,ALCO
F02601,"G Clamp 6""",,74.95,ALCO
F02604,"G Clamp 12""",,189.95,ALCO
F01621,Cauking Gun Pro Plastic,,29.95,ALCO
F01367,Ladder House Wife 2 Step,345.0,369.0,
F00980,Ladder House Wife 3 Step,,,
F02216,Hacksaw Junior,,13.5,ALCO
F00935,Hacksaw Plastic Handle,,19.95,
F02217,Hacksaw Square Tube Frame 300MM,,29.95,ALCO
F00936,Hacksaw Metal Handle,,34.95,
F01626,Hacksaw Better Qlty,,37.95,
F02246,Hacksaw Pro Aluminium Angle Cutting,,99.0,ALCO
F02226,Blades Hacksaw Flexible 10's 300MM,,41.89,
F02213,Plier Water Pump 250MM,,64.95,
F02214,Plier Tower Pincer 230MM,,34.95,
F02245,Wrench Pipe 250MM,,75.95,
F02244,Square Rafter Industrial 400x600MM,,40.95,
F02228,"Adjustable Wrench 10""",,53.95,ALCO
F02229,"Adjustable Wrench 12""",,65.95,ALCO
F01619,Mallet Rubber White,,29.95,
F01620,Mallet Rubber Black,,28.95,
F00928,Claw Hammer Wdn Hndl,,42.95,
F00930,Claw Hammer Fibreglass Handle,,44.95,ALCO
F00931,Claw Hammer Tubular Handle 16oz Forged,,42.95,
F01005,Claw Hammer All Steel 16oz Forged,,78.95,
F02202,Roofing Hammer Plastic Handle Forged,,64.95,ALCO
F02201,Skutch Hammer Plastic Hndl Forged,,85.95,ALCO
F02230,Wood Chisel 6mm Plastic Handle,,25.95,ALCO
F02231,Wood Chisel 12mm Plastic Handle,,27.95,ALCO
F02232,Wood Chisel 24mm Plastic Handle,,33.95,ALCO
F01625,Working Chisel 18mm,,27.95,ALCO
F01622,Stone Chisel 250 x 18,,27.95,
F01623,Stone Chisel 300 x 18,,29.95,
F01624,Stone Chisel 350 x 18,,30.95,
F01617,Wood Working Chisel Better Quality 4pce,,155.0,
F01627,Wrecking Bar 450 x 18,,37.95,
F01629,Wrecking Bar 750 x 18,,47.95,
F01628,Wrecking Bar 600 x 18,,41.95,
F01630,Wrecking Bar 48 x 18,,54.95,
F02587,Hole Saw Kit 5 Piece Set,,29.95,HFD
F02588,Hole Saw Kit 13 Piece Set,,69.95,
F02589,Wood Spade Bit 6PCS,,39.95,ALCO
F02212,Hand Rivert 250MM,,49.95,ALCO
F00913,Screw Driver Set 6Pces Bag,,79.95,
F02242,Screw Driver Set 6Pce Precision,,7.95,ALCO
F02243,Screwdriver Set 5Pce Mobile & Jewellery Precision,,29.95,ALCO
F00940,Measuring Tape Plastic Rubber 3M,,10.95,ALCO
F00941,Measuring Tape Plastic Rubber 5M,,12.95,ALCO
