ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: title,Meta: description,Meta: keywords,_yoast_wpseo_title,_yoast_wpseo_metadesc,_yoast_wpseo_focuskw,Meta: _yoast_wpseo_metadesc,Brands
9562,simple,F00273,Sad Iron Chrome,1,0,visible,"The Sad Iron Chrome is a classic, reliable iron perfect for pressing clothes without electricity. Its chrome finish ensures durability and even heat distribution. An essential addition to any South African home, especially during loadshedding periods.","<p>The Sad Iron Chrome is a traditional, non-electric iron that delivers excellent pressing results the old-fashioned way. This versatile appliance is ideal for South African households looking to reduce electricity consumption during loadshedding or simply preferring a chemical-free pressing method.</p><p><strong>Key Features:</strong></p><ul><li>Chrome finish for durability and corrosion resistance</li><li>No electricity required - perfect for loadshedding</li><li>Lightweight and easy to handle</li><li>Even heat distribution for professional results</li><li>Suitable for all fabric types</li><li>Low maintenance and long-lasting</li><li>Compact storage footprint</li><li>Environmentally friendly alternative to electric irons</li></ul><p>Simply heat on your stove or over an open flame and enjoy wrinkle-free clothes. The Sad Iron Chrome combines nostalgia with practicality, making it an excellent backup iron or primary choice for eco-conscious households. Whether you're dealing with load shedding or embracing sustainable living, this chrome iron is a smart investment for your home laundry needs.</p>",,,taxable,,1,,,0,0,,,,,1,,,180.0,"All Products, Homeware > Appliances, Homeware > Cleaning & Organization, Homeware > Decor, Homeware, Homeware > Appliances > Small Appliances > Irons, Homeware > Cleaning & Organization > Laundry, Hardware > Electrical > Loadshedding, Homeware > Appliances > Small Appliances",,,,,,,,,,,,,,,,,,,,,,,,,Sad Iron Chrome - Non-Electric Pressing Iron,"Classic Sad Iron Chrome for pressing clothes without electricity. Perfect for loadshedding. Durable, reliable and affordable at R180. Shop now!",sad iron chrome non-electric,Sad Iron Chrome - Non-Electric Pressing Iron,"Classic Sad Iron Chrome for pressing clothes without electricity. Perfect for loadshedding. Durable, reliable and affordable at R180. Shop now!",sad iron chrome non-electric,,Impulse Imports
9640,simple,F01989,Feather Duster Short,0,0,visible,"Keep your home dust-free with our practical Feather Duster Short. Perfect for quick cleanups on shelves, furniture, and hard-to-reach corners, this lightweight cleaning essential is a must-have for every South African household. Affordable quality at just R120.","<p>The Feather Duster Short is your go-to cleaning companion for everyday dust removal around the home. Lightweight and easy to maneuver, it's perfect for dusting shelves, picture frames, furniture, and decorative items without breaking a sweat.</p><p><strong>Key Features:</strong></p><ul><li>Compact short handle design for easy control</li><li>Soft feathers effectively capture dust particles</li><li>Ideal for delicate surfaces and items</li><li>Lightweight and comfortable to use</li><li>Perfect for quick daily cleaning tasks</li><li>Great value at an affordable price</li><li>Essential for every South African home</li></ul><p>Whether you're maintaining a tidy lounge, bedroom, or office space, this feather duster makes cleaning effortless. Its soft bristles are gentle enough for ornaments and collectibles while being tough enough on dust. At just R120, it's an unbeatable addition to your cleaning supplies. Order yours from Happy Harvesting today and keep your home sparkling clean.</p>",,,taxable,,1,31,,0,0,,,,,1,,,120.0,"All Products, Homeware > Cleaning & Organization > Cleaning, Homeware, Lifestyle & Everyday Essentials > Under R99",,,,,,,,,,,,,,,,,,,,,,,,,Feather Duster Short | Home Cleaning Essentials,Shop our affordable Feather Duster Short for R120. Perfect for dusting shelves and furniture. Quick delivery across South Africa.,feather duster short,Feather Duster Short | Home Cleaning Essentials,Shop our affordable Feather Duster Short for R120. Perfect for dusting shelves and furniture. Quick delivery across South Africa.,feather duster short,,Impulse Imports
9895,simple,F02072,C-Breaker Din Rail Black 10A,0,0,visible,"The C-Breaker Din Rail Black 10A is an essential electrical safety device designed to protect your home or business from earth leakage hazards. This compact din rail circuit breaker offers reliable overcurrent and earth fault protection, making it ideal for residential and light commercial applications. Trust Impulse Imports for quality electrical hardware at an affordable price.","<p>The C-Breaker Din Rail Black 10A is a professional-grade circuit breaker that combines safety, reliability, and affordability. Whether you're upgrading your electrical panel or building a new installation, this 10-amp earth leakage breaker is the smart choice for South African homes and businesses.</p><p><strong>Key Features:</strong></p><ul><li>10A rated capacity for optimal load protection</li><li>Din rail mounted design for easy installation</li><li>Earth leakage detection and automatic disconnection</li><li>Compact black finish fits modern electrical enclosures</li><li>Durable construction meets local safety standards</li><li>Cost-effective protection for your property</li><li>Suitable for residential and light commercial use</li></ul><p>This breaker automatically disconnects power when it detects dangerous earth faults, preventing electrical shocks and fires. The din rail mounting system makes installation straightforward, saving you time and money on professional fitting. Backed by Impulse Imports' reputation for quality electrical components, the C-Breaker Din Rail 10A provides peace of mind and reliable performance year after year.</p>",,,taxable,,1,120,,0,0,,,,,1,,,135.0,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",,,,,,,,,,,,,,,,,,,,,,,,,C-Breaker Din Rail Black 10A | Earth Leakage Protection,Buy C-Breaker Din Rail Black 10A circuit breaker online in South Africa. Earth leakage protection for homes & businesses. Only R135 at Happy Harvesting.,C-Breaker Din Rail 10A earth leakage,C-Breaker Din Rail Black 10A | Earth Leakage Protection,Buy C-Breaker Din Rail Black 10A circuit breaker online in South Africa. Earth leakage protection for homes & businesses. Only R135 at Happy Harvesting.,C-Breaker Din Rail 10A earth leakage,,Impulse Imports
9402,simple,SMGBLENDBLK,Smeg Retro Jug Blender - Black,0,0,visible,"Blend in style with the iconic Smeg Retro Jug Blender in sleek black. This premium Italian-designed blender combines vintage aesthetics with modern performance, perfect for smoothies, soups, and sauces. A timeless kitchen essential that looks as good as it performs.","<p>Experience the perfect blend of retro charm and contemporary functionality with the Smeg Retro Jug Blender in sophisticated black. This stunning kitchen appliance brings Italian design excellence to your countertop, making blending an absolute pleasure.</p><p><strong>Key Features:</strong></p><ul><li>Iconic retro design with modern performance</li><li>Powerful motor for smooth blending results</li><li>Durable glass jug with measurement markings</li><li>Multiple speed settings and pulse function</li><li>Stainless steel blades for superior cutting</li><li>Anti-slip feet for stability</li><li>Easy-to-clean design</li><li>Premium Italian engineering and craftsmanship</li><li>Ideal for smoothies, soups, sauces, and more</li><li>Elegant black finish complements any kitchen decor</li></ul><p>Whether you're creating nutrient-packed smoothies, velvety soups, or homemade nut butters, this blender delivers consistent, professional results. The timeless retro aesthetic makes it a stylish addition to modern and classic kitchens alike. Invest in quality and design with Smeg.</p>",,,taxable,,1,,,0,0,,,,,1,,,5300.0,"All Products, Homeware > Appliances, Homeware > Appliances > Small Appliances > Blenders & Mixers, Homeware > Appliances > Small Appliances",,,,,,,,,,,,,,,,,,,,,,,,,Smeg Retro Jug Blender Black | Premium Kitchen Blender,"Shop the iconic Smeg Retro Jug Blender in black. Premium Italian design with powerful performance. Perfect for smoothies and soups. R5,300.",Smeg retro jug blender black,Smeg Retro Jug Blender Black | Premium Kitchen Blender,"Shop the iconic Smeg Retro Jug Blender in black. Premium Italian design with powerful performance. Perfect for smoothies and soups. R5,300.",Smeg retro jug blender black,,Hirschs
9403,simple,9902044216519,Smeg Retro Jug Blender - Blue,0,0,visible,"Blend in style with the iconic Smeg Retro Jug Blender in gorgeous blue. This Italian-designed kitchen powerhouse combines vintage aesthetics with modern performance, perfect for smoothies, soups, and sauces. A statement piece that elevates your kitchen décor while delivering professional-grade blending results.","<p>Experience the perfect fusion of retro charm and contemporary functionality with the Smeg Retro Jug Blender in stunning blue. This iconic Italian-designed appliance brings timeless style to your kitchen while delivering powerful blending performance for all your culinary needs.</p><p><strong>Key Features:</strong></p><ul><li>Iconic retro design in vibrant blue finish</li><li>Powerful motor for smooth blending of fruits, vegetables, and ice</li><li>1.5-litre glass jug with measurement markings</li><li>Multiple speed settings for precise control</li><li>Durable stainless steel blades</li><li>Compact footprint ideal for countertop display</li><li>Easy-to-clean removable jug and blade assembly</li><li>Italian engineering and design excellence</li><li>Perfect for smoothies, soups, nut butters, and cocktails</li></ul><p>Make every blend count with this stunning kitchen essential that doubles as décor. Supplied by Hirschs, a trusted name in quality appliances across South Africa.</p>",,,taxable,,1,,,0,0,,,,,1,,,5300.0,"All Products, Homeware > Appliances, Homeware > Appliances > Small Appliances > Blenders & Mixers, Homeware, Homeware > Appliances > Small Appliances",,,,,,,,,,,,,,,,,,,,,,,,,Smeg Retro Jug Blender Blue | Happy Harvesting,Iconic Smeg Retro Jug Blender in blue. Powerful Italian-designed blender combining vintage style with modern performance. Shop now at Happy Harvesting.,Smeg retro jug blender blue,Smeg Retro Jug Blender Blue | Happy Harvesting,Iconic Smeg Retro Jug Blender in blue. Powerful Italian-designed blender combining vintage style with modern performance. Shop now at Happy Harvesting.,Smeg retro jug blender blue,,Hirschs
9404,simple,9902044216526,Smeg Retro Jug Blender - Mint,0,0,visible,"Blend in style with the iconic Smeg Retro Jug Blender in mint. This vintage-inspired kitchen essential combines stunning aesthetics with powerful blending performance, perfect for smoothies, soups, and sauces. A statement piece that brings retro charm to any South African kitchen.","<p>The Smeg Retro Jug Blender in mint is the perfect fusion of nostalgic design and modern functionality. With its distinctive 1950s silhouette and vibrant mint finish, this blender isn't just a kitchen appliance—it's a style statement.</p><p><strong>Key Features:</strong></p><ul><li>Iconic retro design with authentic Smeg styling</li><li>Powerful motor for smooth blending results</li><li>Large 1.5L glass jug capacity</li><li>Multiple speed settings for precise control</li><li>Stainless steel blades for durability</li><li>Non-slip rubber feet for stability</li><li>Easy-to-clean removable components</li><li>Stylish mint green finish</li><li>Compact footprint perfect for any countertop</li></ul><p>Ideal for creating delicious smoothies, crushing ice, pureeing vegetables, and making creamy soups. The robust construction ensures years of reliable performance, while the timeless design complements both modern and traditional kitchen décor. Invest in a blender that's as beautiful as it is functional.</p>",,,taxable,,1,,,0,0,,,,,1,,,5300.0,"All Products, Homeware > Appliances, Homeware > Appliances > Small Appliances > Blenders & Mixers, Homeware > Appliances > Small Appliances",,,,,,,,,,,,,,,,,,,,,,,,,Smeg Retro Jug Blender Mint | Happy Harvesting,"Shop the iconic Smeg Retro Jug Blender in mint. Vintage design meets powerful performance. R5,300. Free delivery on orders over R500.",Smeg retro jug blender mint,Smeg Retro Jug Blender Mint | Happy Harvesting,"Shop the iconic Smeg Retro Jug Blender in mint. Vintage design meets powerful performance. R5,300. Free delivery on orders over R500.",Smeg retro jug blender mint,,Hirschs
10031,simple,9902054135039,Alco Roofing Screws 75mm,1,0,visible,"Heavy-duty Alco roofing screws measuring 75mm, designed for secure fastening of roofing materials, metal sheets, and cladding. These corrosion-resistant screws provide reliable holding power for both residential and commercial applications. Pack of quality screws at an unbeatable price under R99.","<p>The Alco Roofing Screws 75mm are professional-grade fasteners engineered for superior performance in roofing and metal sheet applications. Whether you're replacing roof panels, installing metal cladding, or securing corrugated iron sheets, these screws deliver exceptional holding power and durability.</p><ul><li>Length: 75mm - ideal for penetrating through metal sheets and securing into timber or steel substrates</li><li>Corrosion-resistant coating to withstand harsh South African weather conditions</li><li>Self-drilling design for easy installation without pre-drilling</li><li>Sharp, aggressive thread pattern for secure fastening</li><li>Suitable for metal roofing, cladding, and industrial applications</li><li>Manufactured to strict quality standards by trusted supplier Makokoya</li><li>Affordable pricing - excellent value for builders and DIY enthusiasts</li></ul><p>Stock these reliable roofing screws for your next project. Fast delivery available across South Africa through Happy Harvesting.</p>",,,taxable,,1,,,0,0,,,,,1,,,40.0,"Hardware > Buidling Materials, Hardware, Hardware > Locks & Clamps, Lifestyle & Everyday Essentials > Under R99",,,,,,,,,,,,,,,,,,,,,,,,,Alco Roofing Screws 75mm | Quality Hardware SA,"Buy Alco Roofing Screws 75mm online at Happy Harvesting. Durable, corrosion-resistant fasteners for roofing & cladding. Only R40!",roofing screws 75mm,Alco Roofing Screws 75mm | Quality Hardware SA,"Buy Alco Roofing Screws 75mm online at Happy Harvesting. Durable, corrosion-resistant fasteners for roofing & cladding. Only R40!",roofing screws 75mm,,Makokoya
10032,simple,9902054135046,Alco Roofing Screws 90mm,1,0,visible,"Durable Alco Roofing Screws 90mm designed for secure fastening of roofing materials, metal sheets, and cladding. These heavy-duty screws offer excellent grip and corrosion resistance, making them ideal for South African weather conditions. Perfect for DIY projects and professional installations.","<p>Alco Roofing Screws 90mm are professional-grade fasteners engineered for reliable performance in demanding roofing applications. Whether you're securing corrugated iron sheets, metal cladding, or other roofing materials, these screws deliver superior holding power and durability.</p><ul><li>Length: 90mm for deep penetration and secure anchoring</li><li>Corrosion-resistant coating protects against rust and weathering</li><li>Self-drilling design simplifies installation without pre-drilling</li><li>Wide washer head distributes load evenly across surfaces</li><li>Suitable for metal-to-metal and metal-to-timber applications</li><li>Ideal for residential and commercial roofing projects</li><li>Excellent value at under R100</li></ul><p>These high-quality roofing screws are manufactured to withstand South Africa's harsh climate conditions, including intense sun, heavy rains, and strong winds. The robust construction ensures long-lasting performance and reduces the need for maintenance or replacement. Stock your toolbox with Alco Roofing Screws for all your building and construction needs.</p>",,,taxable,,1,,,0,0,,,,,1,,,60.0,"Hardware > Buidling Materials, Hardware, Hardware > Locks & Clamps, Lifestyle & Everyday Essentials > Under R99",,,,,,,,,,,,,,,,,,,,,,,,,Alco Roofing Screws 90mm | Hardware & Building,"Buy Alco Roofing Screws 90mm online at Happy Harvesting. Durable, corrosion-resistant fasteners for roofing. Only R60 from Makokoya.",roofing screws 90mm,Alco Roofing Screws 90mm | Hardware & Building,"Buy Alco Roofing Screws 90mm online at Happy Harvesting. Durable, corrosion-resistant fasteners for roofing. Only R60 from Makokoya.",roofing screws 90mm,,Makokoya
,simple,OLED65S85,LG OLED65S85 EVO AI 4K 120Hz Smart TV 65 Inch,1,0,visible,"Experience cinematic brilliance with LG's OLED65S85 EVO AI Smart TV—4K resolution, 120Hz refresh rate, and AI-powered picture enhancement for stunning home entertainment.","<h2>Overview</h2><p>The LG OLED65S85 is a premium 65-inch OLED EVO AI Smart TV that delivers exceptional picture quality with perfect blacks, infinite contrast, and vibrant colours. Engineered with advanced AI technology, this television intelligently upscales content and optimises picture settings in real-time, ensuring every scene looks breathtaking whether you're watching movies, sports, or gaming.</p><p>With 4K resolution and a blazing-fast 120Hz refresh rate, the OLED65S85 is perfect for serious gamers and film enthusiasts who demand the best. The EVO panel technology provides superior brightness and energy efficiency, whilst the smart TV platform offers seamless access to your favourite streaming services and apps.</p><h3>Key Features</h3><ul><li>OLED EVO AI technology with real-time picture optimisation</li><li>4K Ultra HD resolution (3840 x 2160 pixels)</li><li>120Hz refresh rate for ultra-smooth motion and gaming</li><li>Perfect blacks and infinite contrast ratio</li><li>AI upscaling for enhanced clarity on standard content</li><li>Smart TV platform with built-in streaming apps</li><li>Variable refresh rate (VRR) support for gaming</li><li>Dolby Vision and Dolby Atmos support</li><li>Voice control compatibility</li><li>Premium metal stand with sleek design</li></ul><h3>Specifications</h3><ul><li>Screen Size: 65 inches</li><li>Resolution: 4K UHD (3840 x 2160)</li><li>Panel Type: OLED EVO</li><li>Refresh Rate: 120Hz</li><li>Smart TV: Yes with webOS</li><li>HDMI Ports: 4 (HDMI 2.1 compatible)</li><li>Connectivity: Wi-Fi, Bluetooth, Ethernet</li><li>Audio: Stereo speakers with Dolby Atmos</li><li>Power Consumption: Approximately 150W (typical)</li><li>Energy Rating: A-rated efficiency</li><li>Warranty: 3-year manufacturer's warranty</li></ul><p>Upgrade your home entertainment experience with the LG OLED65S85—where cutting-edge technology meets stunning visual performance. Order yours today and enjoy free delivery and installation across South Africa.</p>",,,taxable,,1,10,2,0,0,18.5,145.2,83.4,8.7,1,,,34998.75,Electronics > Televisions > 4K OLED TVs,"LG, OLED TV, 4K Smart TV, 65 inch television, Premium Entertainment",,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/180a34c7-337b-4f52-827e-294d5cc718c2.jpg,,,,,,,,,,Brand,LG,1,1,Model,OLED65S85,1,,,,,,"LG OLED65S85 4K 120Hz OLED Smart TV 65"" | SA",LG OLED65S85 65-inch 4K OLED TV with 120Hz refresh rate and AI picture enhancement. Premium picture quality for movies and gaming. Shop now!,"LG OLED65S85, 65 inch OLED TV, 4K Smart TV, 120Hz television, EVO OLED, premium TV South Africa, gaming TV, 4K UHD television",%%title%% - %%sitename%%,LG OLED65S85 65-inch 4K OLED TV with 120Hz refresh rate and AI picture enhancement. Premium picture quality for movies and gaming. Shop now!,LG OLED65S85 65 inch 4K OLED TV South Africa,,LG
,simple,QA85Q7FAALXXA,"Samsung QA85Q7FAALXXA 85"" 4K QLED AI TV",1,0,visible,Experience stunning 4K picture quality with Samsung's advanced QLED technology and AI upscaling on this massive 85-inch display.,"<h2>Overview</h2><p>The Samsung QA85Q7FAALXXA is a premium 85-inch 4K QLED television that brings cinema-quality entertainment into your home. Featuring Samsung's proprietary Quantum Dot technology and AI-powered picture enhancement, this flagship model delivers breathtaking colour accuracy and brightness levels that rival professional displays. Whether you're streaming your favourite content, gaming, or watching live sports, the expansive 85-inch screen immerses you in every moment.</p><p>Designed for modern households that demand premium performance, the QA85Q7FAALXXA combines sleek aesthetics with intelligent processing power. The advanced AI upscaling technology enhances lower-resolution content to near-4K quality, ensuring everything you watch looks exceptional. Perfect for large living spaces and entertainment enthusiasts across South Africa who refuse to compromise on visual excellence.</p><h3>Key Features</h3><ul><li>85-inch 4K QLED display with Quantum Dot technology</li><li>AI-powered picture upscaling and enhancement</li><li>High brightness levels for superior contrast and colour depth</li><li>Smart TV functionality with multiple streaming apps</li><li>Smooth motion handling ideal for sports and gaming</li><li>Premium audio output for immersive sound</li><li>Sleek modern design with minimal bezels</li></ul><h3>Specifications</h3><ul><li>Screen Size: 85 inches</li><li>Resolution: 4K Ultra HD (3840 x 2160)</li><li>Panel Type: QLED (Quantum Dot LED)</li><li>Model Number: QA85Q7FAALXXA</li><li>Smart TV: Yes with built-in apps</li><li>HDR Support: Yes</li><li>Refresh Rate: 60Hz native</li><li>Connectivity: HDMI, USB, WiFi, Bluetooth</li></ul><p>Don't miss out on this exceptional entertainment upgrade. Order the Samsung QA85Q7FAALXXA 85"" 4K QLED AI TV today and transform your viewing experience. With prices this competitive in South Africa, stocks are moving fast—secure yours now!</p>",,,taxable,,1,10,2,0,0,42.5,190.5,110.2,6.8,1,,,24998.75,Electronics > Televisions > 4K TVs,"85-inch-tv, 4K-QLED-television, Samsung-premium-TV, AI-upscaling-TV, large-screen-entertainment",,https://images.samsung.com/is/image/samsung/p6pim/us/qn85qn1efafxza/gallery/us-neo-qled-qn85qn1efafxza-qn--qn-efafxza-546228314?$product-details-thumbnail-jpg$,,,,,,,,,,Brand,Samsung,1,1,Model,QA85Q7FAALXXA,1,,,,,,"Samsung 85"" 4K QLED AI TV QA85Q7FAALXXA","Samsung QA85Q7FAALXXA 85"" 4K QLED AI TV with quantum dot technology and AI upscaling. Premium entertainment for South African homes. Shop now!","Samsung QLED TV, 85 inch 4K TV, QA85Q7FAALXXA, quantum dot television, AI TV South Africa, ultra HD TV, large screen TV, premium QLED",%%title%% - %%sitename%%,"Samsung QA85Q7FAALXXA 85"" 4K QLED AI TV with quantum dot technology and AI upscaling. Premium entertainment for South African homes. Shop now!",Samsung 85 inch 4K QLED TV South Africa,,Samsung
