wc_id,sku,name,supplier
9416,9902025256725,Mellerware - 500ml 25W Zest Citrus Juicer - Black,unknown
9553,9902025099582,Hart - J7 21 Litre Stew Pan,unknown
9555,9902025099605,Hart 7L Aluminium Stewpan,unknown
9600,9902031454689,Portable Electric Immersion Water Heating Rod Element,unknown
9607,9902022757843,Immersion Water Heater 1500W,unknown
9623,9902031454696,Electric Water Heating Element-black,unknown
9729,OmsCM3273,OMS - Cake Mould - Gold,unknown
9735,9902025099513,Cadac - Gas Cylinder 5 kg,power_warehouse
9736,9902025099537,Cadac - Gas Cooker Eazi,power_warehouse
9737,9902025099544,Cadac - Gas Power Cooker,power_warehouse
9738,9902025099506,Cadac - Gas Cylinder 3 kg,power_warehouse
9750,9902026634867,Falez Creamy Granitec Grill-Pan - 28 cm,unknown
9791,9902030407778,Viva Cortica 0.65l Glass Cork Storage,unknown
9858,9902040162957,Trio of Tricolor Vases,unknown
9860,9902040162971,Trio of Brown Cylindrical Vases,unknown
9861,9902040162988,Portrait Vase,unknown
9863,9902040163008,Teal Geometrical Vase,unknown
14674,p2ww2dr,2 Drawer Melamine Pedestals,unknown
14676,p2pyv2dr,2 Drawer Velvet Pedestals,unknown
14677,p2vcdd,Cream Vinyl Pedestals,unknown
18135,5380,"ITEL 43"" LED TV",unknown
18136,5498,"HISENSE 65"" UHD SMART TV",hirschs
18137,5664,"ITEL 32"" ICAST TV S22",unknown
18138,5665,"ITEL 17"" LED TV",unknown
18140,5967,"ITEL 19"" LED TV",unknown
18141,6319,CONDERE AMPLIFIER CH-7009,unknown
18142,6361,"JVC 42"" SMART TV",unknown
18144,6741,"VILLAON 32"" LED TV",unknown
18145,6769,JVC CD PLAYER BLUETOOTH RV-NB22BT,unknown
18146,6770,"SKYWORTH 40"" FHD READY 40STD2000",unknown
18147,6781,"JVC TROLLEY SPEAKER 10"" BT BATTERY SPKER XS-N518PB",power_warehouse
18148,6791,"SAMSUNG 55"" CRYSTAL UHD SMART TV (UA55CU7000KXXA)",hirschs
18150,6810,"SKYWORTH 32"" ANDROID TV",unknown
18152,6890,SUPERSONIC H/THEATER 5.1,unknown
18153,6891,"JVC 40"" HD SMART TV LT-40N550A",unknown
18154,6908,LG MINI CD HI FI SYSTEM (XBOM) CJ45DZAFLLK,hirschs
18155,6954,"JVC 60"" 4K UHD SMART TV",unknown
20480,9983N20480,SAMSUNG 85” CU7000 CRYSTAL UHD 4K  SMART TV (2023),hirschs
20657,HQRG320657,Custom Delivery,unknown
21048,YOVP121034-1,SuperWash Super Foam,unknown
21060,YOVP121034-1-1-1-1,SuperWash Instant Detailer (Gloss Enhancer),unknown
21198,,Mortice Lockset,unknown
21566,ETFK721566,Test,unknown
32283,,Container set (3 in 1) Apple Assorted colours,unknown
32505,,Electric Induction Cooker,unknown
