wc_id,sku,name,type,published,supplier,regular_price,has_price,has_image,has_desc,categories,gaps
7729,G7T9L7729,Potstory Rose Pot White,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7732,3TRB87732,Potstory Scroll Pot White,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7739,KPIL47739,Potstory Rib Pot Peach,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7744,I16137744,Potstory Acapulco White,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7747,4S7C97747,Potstory Shrub Pot Green,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7751,75S6W7751,Potstory Swazi Pot Black,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7758,34GQT7758,Potstory Oval Pot Small | Medium | Large Peach,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7762,AB9187762,Potstory Tivolee Medium/Large Black,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7767,6SF6X7767,Potstory Angolan Medium/Large Brown,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7768,79O877768,Potstory Elfin Brown,simple,False,unknown,250,True,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
7769,8H4TZ7769,Potstory Haiti Medium/ Large Brown,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7770,77V8M7770,Potstory Octagon Medium/ Large Gold,variable,False,unknown,,False,True,False,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price|no_description
7771,4F2DJ7771,Potstory Tortosa Peach,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7772,3L7WN7772,Potstory Constantia Brown,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7773,9J2VH7773,Potstory Chelsea Window Box Small White,simple,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7774,19QTO7774,Potstory Window Basket Small - Black,variable,False,unknown,,False,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",no_price
7775,1DUON7775,Potstory Bonsai Rectangle,simple,True,unknown,350,True,True,True,"All Products, Homeware > Decor, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
7776,FC9PC7776,Potstory Serena Peach,simple,True,unknown,550,True,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
7777,RP42Y7777,Potstory Bonsai Pot Peach,simple,True,unknown,150,True,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
7778,N883V7778,Potstory - Square Pot with Rhino Motive - White,simple,True,unknown,800,True,True,True,"All Products, Homeware > Decor, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
7779,1O7Z67779,Potstory Square Pot - Peach,simple,True,unknown,600,True,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
7780,IC4647780,Potstory African Jungle,simple,True,unknown,650,True,True,True,"All Products, Garden, Garden > Garden Pots, Homeware > Decor > Pots & Planters",
