name,price,qty,section
10919 button shrug cream - 12,200.0,2.0,fashion
22915 studd stone - 12,450.0,1.0,fashion
t2345 jade chain blue orange black - s,200.0,1.0,fashion
t2345 jade chain blue orange black - xl,200.0,1.0,fashion
t2345 jade chain corail white black - xl,200.0,1.0,fashion
t2345 jade chain corail black - xl,200.0,1.0,fashion
t2345 jade chain corail white black - l,200.0,1.0,fashion
m23003 studd seige - 14,750.0,2.0,fashion
19270 flat zip navy - 14,350.0,1.0,fashion
21956 sequins shoking pink 14,300.0,0.0,fashion
21956 sequins shoking pink 12,300.0,0.0,fashion
21956 sequins black 10,300.0,0.0,fashion
21956 sequins black 12,300.0,0.0,fashion
21956 bg sequins black - 12,300.0,1.0,fashion
21956 sequins gold - 10,300.0,0.0,fashion
20001 net strip white and black - xl,250.0,1.0,fashion
20001 net strip pink and black - s,250.0,1.0,fashion
22485 net wing black - 14,450.0,1.0,fashion
21605 - grey champaign sequins - 12,450.0,1.0,fashion
22416 - wings navy 12,450.0,1.0,fashion
m23052 scuba glass work beige and black - 12,450.0,1.0,fashion
22416 wings stone - 10,450.0,1.0,fashion
22416 wings stone - 8,450.0,1.0,fashion
20006 gold plated shocking pink - s,450.0,1.0,fashion
21627 flat plain gold - 14 - gold satin dress,450.0,1.0,fashion
22942 funky girls lemon - 10,450.0,1.0,fashion
22942 funky girls lemon - 6,450.0,1.0,fashion
17459 plain aqua shocking pink - 12,450.0,1.0,fashion
17459 plain aqua lemon - 8,450.0,1.0,fashion
21673 lace black - 8,450.0,1.0,fashion
21673 lace shocking pink - 8,450.0,1.0,fashion
22033 - 2 sequins black and copper - 14,450.0,1.0,fashion
22033 - 2 sequins black and copper - 12,450.0,0.0,fashion
22033 - 2 sequins stone and gold - 12,450.0,0.0,fashion
s12201 - 1 funky girls sequins blue floral royal blue - xs,450.0,1.0,fashion
22729 - funky girl block pink and stone - xs,450.0,1.0,fashion
22942 - funky girls mint - 12,450.0,0.0,fashion
22942 - funky girls mint - 8,450.0,1.0,fashion
45069 - gold plaited and zip black - l,250.0,2.0,fashion
45069 - gold plaited and zip black - m,250.0,1.0,fashion
45069 - gold plaited and zip navy - s,250.0,1.0,fashion
45069 - gold plaited and zip navy - l,250.0,1.0,fashion
21498 funky girls pink and navy - l,450.0,1.0,fashion
22729 - funky girl block seige and stone - m,450.0,2.0,fashion
s12354 sequins cut glass work mint - 12,750.0,1.0,fashion
23299 glass floral navy - 8,600.0,1.0,fashion
23299 glass floral navy - 12,600.0,1.0,fashion
23003 studd navy - 14,750.0,1.0,fashion
m23371 stone neck purple - 8,750.0,1.0,fashion
m23371 stone neck purple - 12,750.0,1.0,fashion
m23371 stone neck purple - 14,750.0,1.0,fashion
23165 sequins peach - 8,750.0,1.0,fashion
23165 sequins peach - 10,750.0,1.0,fashion
22101 studd solo seige - 14,500.0,1.0,fashion
m24472 sequins net maroon - 14,450.0,2.0,fashion
1833 net top plated blue mist - l,500.0,1.0,fashion
m24081 lace sequins indigo - 10,500.0,1.0,fashion
m24081 lace sequins indigo - 14,500.0,1.0,fashion
22825 plain navy - 10,750.0,1.0,fashion
22825 plain grey - 8,750.0,2.0,fashion
22825 plain violet - 10,450.0,1.0,fashion
8024 funkky girls peach - 12,450.0,1.0,fashion
20004 jackie milano black ecro - 3,250.0,1.0,fashion
20004 jackie milano black ecro - 2,250.0,1.0,fashion
20004 jackie milano black ecro - 5,250.0,1.0,fashion
20004 jackie milano navy ecro - 5,250.0,1.0,fashion
20004 jackie milano navy ecro - 4,250.0,1.0,fashion
20004 jackie milano navy ecro - 2,250.0,1.0,fashion
23217 beglain black beige strip - 12,250.0,1.0,fashion
23217 beglain black beige strip - 8,250.0,1.0,fashion
22101 - 2 - studd dual black and shocking pink - 8,450.0,1.0,fashion
22101 - 2 - studd dual black and shocking pink - 10,450.0,1.0,fashion
22101 - 2 - studd dual black and white - 10,450.0,1.0,fashion
22101 - 2 - studd dual black and shocking pink - 14,450.0,1.0,fashion
s13017 - 2 - lace violet - 12,450.0,1.0,fashion
s11173 - sequins pearl stone and navy - 12,450.0,1.0,fashion
s11173 - sequins pearl stone and navy - 14,450.0,1.0,fashion
