name,price,qty,section
Pie Taker,129.0,1.0,tupperware
Lunch Box - Pink wave - 850ml,80.0,0.0,tupperware
Lunch Box - Purple wave - 850ml,80.0,1.0,tupperware
Snack Cups - set of 3,80.0,4.0,tupperware
3 Div Lunch Containers,120.0,1.0,tupperware
Cubic Light Blue - 1l,50.0,3.0,tupperware
Mauve - Long Thin Rectangle 1.1l,100.0,0.0,tupperware
Ice Tray,100.0,0.0,tupperware
Store Smart,130.0,2.0,tupperware
Cheese Dome,200.0,1.0,tupperware
Peelers,80.0,15.0,tupperware
Dinner Plate - Plastic,80.0,4.0,tupperware
Cubic Minis - Set of 3 orange,50.0,3.0,tupperware
Cubic Minis - Set of 3 - Teal,50.0,2.0,tupperware
Butter Dish (rectangle),80.0,2.0,tupperware
Printed Bottle - 500ml,80.0,0.0,tupperware
Eco Bottle Screw Top - 310ml - Green,40.0,8.0,tupperware
Eco Bottle Screw Top - 310ml - Blue,40.0,3.0,tupperware
Eco Bottle Screw Top - 310ml - Purple,40.0,4.0,tupperware
Eco Bottle Screw Top - 310ml - Pink,40.0,2.0,tupperware
Bottle 500 ml Screw Top - Blue,50.0,0.0,tupperware
Bottle 500ml Scrcew top - Green,50.0,3.0,tupperware
Bottle 500ml Scrcew top - Orange,50.0,1.0,tupperware
Bottles Teal 1lt - Screw Top,120.0,0.0,tupperware
Bottle Purple 1lt - Flip Top,120.0,1.0,tupperware
Bottle Blue - Flip Top - 750ml,70.0,12.0,tupperware
Bottle Green - Flip Top - 500ml,50.0,4.0,tupperware
Bottle Purple - Screw Top - 500ml,50.0,1.0,tupperware
Bottle Red - Screw Top - 500ml,50.0,1.0,tupperware
Bottle - Green - Screw Top - 310ml,40.0,0.0,tupperware
Bottle - Blue - Screw Top - 310ml,40.0,0.0,tupperware
Bottle - Purple - Flip Top - 350ml,50.0,2.0,tupperware
Bottle - 750ml - Flip Top,70.0,2.0,tupperware
Black Bottle 1lt,120.0,0.0,tupperware
Acrylic Butter Dish,75.0,0.0,tupperware
Glass Stove Top Jug,100.0,0.0,tupperware
Nova Slicer,50.0,18.0,tupperware
Signiture Line Tub 1.2L,60.0,1.0,tupperware
3 Pc Icing Bottle Set,20.0,21.0,tupperware
Sponges,25.0,5.0,tupperware
Round Jelly Mould,140.0,0.0,tupperware
Lunch box flip lid 20x10x7 - Purple,60.0,0.0,tupperware
Lunch box flip lid 20x10x7 - Green,60.0,1.0,tupperware
Lunch Box - Pink - divider - 23x15x8,130.0,0.0,tupperware
Multi Purpose Division Container - 29x14x5 - Purple,120.0,3.0,tupperware
Multi Purpose Division Container - 29x14x5 - Blue,120.0,0.0,tupperware
Flip Top 25x12.5x8 - Polca Dot - Yellow,80.0,1.0,tupperware
Flip Top 25x12.5x8 - Ice Cream - Orange,80.0,1.0,tupperware
Flip Top Lunch Box - Yellow - Bunny,60.0,7.0,tupperware
